full_name,count,sum
"A collection of items, which are used for a specific purpose.",6,494800.0
"ADP Central Processing Unit (CPU, Computer), Analog",6,1594.0
"ADP Central Processing Unit (CPU, Computer), Digital",1995,3291971.67
"ADP Central Processing Unit (CPU, Computer), Hybrid",12,152795.48
ADP Components,108,241125.43
ADP Input/Output and Storage Devices,2766,2037318.00
ADP Software,16,15729.56
ADP Supplies,352,56818.13
ADP Support Equipment,268,386731.71
ADPE System Configuration,463,1579007.26
Abrasive Materials,29,1603.08
Accessories for Secondary Metalworking Machinery,1,0.0
Accounting and Calculating Machines,13,499.40
Additive Metal Materials,1,150.0
Adhesives,12,729.80
Air Conditioning Equipment,195,1200928.06
Air Purification Equipment,23,5237.20
"Aircraft Air Conditioning, Heating, and Pressurizing Equipment",28,99204.80
Aircraft Alarm and Signal Systems,5,12393.86
Aircraft Ground Servicing Equipment,156,4240584.46
Aircraft Gunnery Fire Control Components,2,342960.98
"Aircraft Hydraulic, Vacuum and De-icing System Components",23,43691.69
Aircraft Landing Gear Components,16,38268.91
Aircraft Maintenance and Repair Shop Specialized Equipment,87,1429414.52
Aircraft Propellers and Components,1,89.25
Aircraft Wheel and Brake Systems,5,10859.80
"Aircraft, Fixed Wing",50,58689263.0
"Aircraft, Rotary Wing",424,281736199.0
Airfield Specialized Trucks and Trailers,56,1364090.23
Airframe Structural Components,321,990798.88
"Ammunition Maintenance, Repair, and Checkout Specialized Equipment",1,1127.02
"Ammunition and Nuclear Ordnance Boxes, Packages and Special Containers",772,134594.67
"Ammunition, through 30 mm",5,5.0
Amplifiers,30,150684.63
"Antennas, Waveguide, and Related Equip-ment",263,1935499.74
Armament Training Devices,249,1507601.28
"Armor, Personal",1108,805019.08
Assemblies Interchangeable Between Weapons in Two or More  Classes,6,3631.13
Athletic and Sporting Equipment,324,370848.02
Automatic Pilot Mechanisms and Airborne Gyro Components,7,31177.11
Badges and Insignia,1,5.49
Bags and Sacks,350,25568.36
"Ballasts, Lampholders, and Starters",13,15140.22
Bars and Rods,161,20269.07
"Bars and Rods, Nonferrous Base Metal",62,2222.36
"Batteries, Nonrechargeable",30,1847.35
"Batteries, Rechargeable",56,33702.02
"Bearings, Antifriction, Unmounted",69,51976.03
"Bearings, Mounted",9,4900.54
"Bearings, Plain, Unmounted",9,1172.11
"Belting, Drive Belts, Fan Belts, and Accessories",18,393.72
Bending and Forming Machines,31,170713.31
"Beverages, Nonalcoholic",12,7.22
"Blocks, Tackle, Rigging, and Slings",119,136612.78
Bolts,114,2212.54
Books and Pamphlets,10,114.48
Boring Machines.,2,5543.25
Bottles and Jars,5,114.48
"Boxes, Cartons, and Crates",309,1097845.62
Brackets,2,239.98
"Bridges, Fixed and Floating",18,94094.93
"Brooms, Brushes, Mops, and Sponges",217,6693.25
"Building Components, Prefabricated",15,20341.18
"Bushings, Rings, Shims and Spacers",20,12821.24
"Cabinets, Lockers, Bins, and Shelving",645,263932.11
"Cable, Cord, and Wire Assemblies: Communication Equipment",96,37001.34
"Cameras, Motion Picture",87,109876.50
"Cameras, Still Picture",849,1712390.94
Camouflage and Deception Equipment,493,459994.80
Capacitors,1,34.4
"Centrifugals, Separators, and Pressure and Vacuum  Filters",17,31148.09
Chain and Wire Rope,222,78143.39
Chemical Analysis Instruments,22,166691.65
Circuit Breakers,11,2190.36
Clay and Concrete Products Industries Machinery,3,1035.0
