State,County,NSN,Item Name,Quantity,UI,Acquisition Cost,Ship Date
NC,ALAMANCE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,12/07/2006
NC,ALAMANCE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,12/07/2006
NC,ALAMANCE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,12/07/2006
NC,ALAMANCE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,12/07/2006
NC,ALAMANCE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,06/18/2007
NC,ALAMANCE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,06/18/2007
NC,ALAMANCE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,06/18/2007
NC,ALAMANCE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,06/18/2007
NC,ALAMANCE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,06/18/2007
NC,ALAMANCE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,06/18/2007
NC,ALAMANCE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,06/18/2007
NC,ALAMANCE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,10/10/2009
NC,ALAMANCE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,10/10/2009
NC,ALAMANCE                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,10/10/2009
NC,ALAMANCE                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,12/01/2006
NC,ALAMANCE                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,12/01/2006
NC,ALAMANCE                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,10/15/2010
NC,ALAMANCE                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,10/15/2010
NC,ALAMANCE                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,10/15/2010
NC,ALAMANCE                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,10/15/2010
NC,ALEXANDER                ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,03/20/2007
NC,ALEXANDER                ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,03/20/2007
NC,ALEXANDER                ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,12/07/2006
NC,ALEXANDER                ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,12/07/2006
NC,ANSON                    ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,01/13/2006
NC,ANSON                    ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,02/28/2006
NC,ANSON                    ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,02/28/2006
NC,ANSON                    ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,02/28/2006
NC,ANSON                    ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,03/20/2007
NC,ANSON                    ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,03/20/2007
NC,ANSON                    ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,03/08/2006
NC,ANSON                    ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,12/05/2006
NC,ANSON                    ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,12/05/2006
NC,ANSON                    ,6650-00-530-0960,"TELESCOPE,STRAIGHT ",4,EA,442,01/21/-8574
NC,ASHE                     ,2320-01-107-7155,"TRUCK,UTILITY",1,Each,25000,06/05/2008
NC,ASHE                     ,2320-01-107-7155,"TRUCK,UTILITY      ",1,EA,39052,11/08/-8629
NC,AVERY                    ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,11/20/2006
NC,AVERY                    ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,11/20/2006
NC,AVERY                    ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,11/20/2006
NC,AVERY                    ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,08/06/2008
NC,AVERY                    ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,08/11/2008
NC,AVERY                    ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,08/11/2008
NC,AVERY                    ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,08/11/2008
NC,AVERY                    ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,11/20/2006
NC,AVERY                    ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,11/20/2006
NC,AVERY                    ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,11/20/2006
NC,AVERY                    ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,01/17/2007
NC,AVERY                    ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,01/17/2007
NC,AVERY                    ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,01/17/2007
NC,AVERY                    ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,01/17/2007
NC,AVERY                    ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,01/17/2007
NC,AVERY                    ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,12/08/2006
NC,AVERY                    ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,12/08/2006
NC,AVERY                    ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,12/08/2006
NC,AVERY                    ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,12/08/2006
NC,AVERY                    ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,12/08/2006
NC,AVERY                    ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,08/01/2008
NC,AVERY                    ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,08/01/2008
NC,AVERY                    ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,08/01/2008
NC,AVERY                    ,1005-00-921-5483,"SHOTGUN,12 GAGE,RIOT TYPE",1,Each,108,08/01/2008
NC,AVERY                    ,1240-01-411-1265,"SIGHT,REFLEX       ",1,EA,328,01/21/-8574
NC,BEAUFORT                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,12/08/2006
NC,BEAUFORT                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,12/08/2006
NC,BEAUFORT                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,12/08/2006
NC,BEAUFORT                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,12/08/2006
NC,BEAUFORT                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,12/08/2006
NC,BEAUFORT                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,12/08/2006
NC,BEAUFORT                 ,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1,Each,499,12/08/2006
NC,BEAUFORT                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,12/08/2006
NC,BEAUFORT                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,12/08/2006
NC,BEAUFORT                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,12/08/2006
NC,BEAUFORT                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,12/08/2006
NC,BEAUFORT                 ,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1,Each,138,12/08/2006
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
NC,BEAUFORT                 ,1005-00-726-5655,"PISTOL,CALIBER .45,AUTOMATIC",1,Each,58.71,12/08/2006
