agency_name,state,agency_type
ABERDEEN POLICE DEPT,WA,local_police
ABERDEEN TOWNSHIP POLICE DEPT,NJ,local_police
ABINGTON TOWNSHIP POLICE DEPT,PA,local_police
ACCOMACK COUNTY SHERIFF DEPT,VA,sheriff_dept
ADAMS COUNTY SHERIFF DEPT,IN,sheriff_dept
ADAMSVILLE POLICE DEPT,AL,local_police
AGUADA POLICE DEPARTMENT,PR,local_police
AIKEN COUNTY SHERIFF DEPT,SC,sheriff_dept
AIKEN PUBLIC SAFETY DEPT,SC,public_safety
AL DEPT OF PUBLIC SAFETY,AL,public_safety
AL DEPT OF PUBLIC SAFETY HWY PATROL,AL,highway_patrol
AL DEPT OF PUBLIC SAFETY-ACJTC,AL,public_safety
AL IRONWORKS TANNEHILL RANGERS,AL,ranger
AL UNIV OF MONTEVALLO POLICE DEPT,AL,local_police
ALABASTER POLICE DEPT,AL,local_police
ALACHUA COUNTY SHERIFF DEPT,FL,sheriff_dept
ALAMEDA COUNTY SHERIFF DEPT,CA,sheriff_dept
ALAMOGORDO DEPT OF PUBLIC SAFETY,NM,public_safety
ALASKA STATE TROOPERS,AK,state_police
ALBA POLICE DEPT,TX,local_police
ALBANY POLICE DEPT,TX,local_police
ALBERT ELLIS AIRPORT POLICE AGENCY,NC,airport_police
ALBERTVILLE POLICE DEPT,AL,local_police
ALBUQUERQUE POLICE DEPT,NM,local_police
ALGOOD POLICE DEPT,TN,local_police
ALICEVILLE POLICE DEPT,AL,local_police
ALLEN CTY SHERIFF DEPT,OH,sheriff_dept
ALLEN POLICE DEPT,TX,local_police
ALLENHURST POLICE DEPT,NJ,local_police
ALLIANCE POLICE DEPT,OH,local_police
ALMA POLICE DEPT,CO,local_police
ALPINE COUNTY SHERIFF DEPT,CA,sheriff_dept
ALTOONA POLICE DEPT,AL,local_police
ALTURAS POLICE DEPT,CA,local_police
ALVIN POLICE DEPT,TX,local_police
AMHERST COUNTY SHERIFF DEPT,VA,sheriff_dept
AMHERST POLICE DEPT,NY,local_police
ANACONDA DEER LODGE CTY LEA,MT,
ANCHORAGE DEPT OF PUBLIC SAFETY,AK,public_safety
ANDALUSIA POLICE DEPT,AL,local_police
ANDERSON COUNTY SHERIFF DEPT,TN,sheriff_dept
ANDERSON COUNTY SHERIFF DEPT,KY,sheriff_dept
ANDERSON COUNTY SHERIFF'S OFFICE,SC,sheriff_dept
ANDREWS POLICE DEPT,NC,local_police
ANGOLA  POLICE DEPT,IN,local_police
ANNA  POLICE DEPT,IL,local_police
ANNE ARUNDEL COUNTY POLICE DEPT,MD,local_police
ANNISTON POLICE DEPT,AL,local_police
ANTHONY POLICE DEPT,TX,local_police
APACHE COUNTY SHERIFF DEPT,AZ,sheriff_dept
APACHE JUNCTION POLICE DEPT,AZ,local_police
APPALACHIA POLICE DEPT,VA,local_police
APPLE RIVER POLICE DEPT,IL,local_police
APPLETON POLICE DEPT,WI,local_police
ARAB POLICE DEPT,AL,local_police
ARCADIA POLICE DEPT,WI,local_police
ARCHULETA COUNTY SHERIFF DEPT,CO,sheriff_dept
ARECIBO POLICE DEPT,PR,local_police
ARGO POLICE DEPT,AL,local_police
ARLINGTON COUNTY POLICE DEPT,VA,local_police
ARLINGTON COUNTY SHERIFF DEPT,VA,sheriff_dept
AROOSTOOK COUNTY SHERIFF DEPT,ME,sheriff_dept
ARROYO GRANDE POLICE DEPT,CA,local_police
ASHLAND CITY POLICE DEPT,TN,local_police
ASHLEY COUNTY SHERIFF DEPT,AR,sheriff_dept
ASHTABULA CTY SHERIFF DEPT,OH,sheriff_dept
ASHTABULA POLICE DEPT,OH,local_police
ASHVILLE POLICE DEPT,AL,local_police
ASSUMPTION PARISH SHERIFF OFFICE,LA,sheriff_dept
ATHENS CTY SHERIFF DEPT,OH,sheriff_dept
ATHENS POLICE DEPT,IL,local_police
ATKINSON COUNTY SHERIFF DEPT,GA,sheriff_dept
